Motions - Vessel 1
Time	Surge - Vessel 1	Sway - Vessel 1	Heave - Vessel 1	Roll - Vessel 1	Pitch - Vessel 1	Yaw - Vessel 1
2000-01-01 00:00:23	0.000262372	0.00185015	0.000604546	-0.000616703	-5.70428E-06	-0.000582696
2000-01-01 00:00:23	0.000260907	0.00184546	0.00060771	-0.000841645	-7.15336E-06	-0.000569103
2000-01-01 00:00:23	0.000259669	0.00183973	0.000610757	-0.00104979	-8.37207E-06	-0.00055659
2000-01-01 00:00:23	0.000258705	0.00183368	0.000613597	-0.00123732	-9.3108E-06	-0.000545397
2000-01-01 00:00:24	0.000258031	0.00182794	0.000616152	-0.00140094	-9.93454E-06	-0.000535649
2000-01-01 00:00:24	0.000257686	0.00182303	0.000618362	-0.00153793	-1.02665E-05	-0.000527671
2000-01-01 00:00:24	0.000257733	0.00181928	0.000620181	-0.00164617	-1.03849E-05	-0.000521846
2000-01-01 00:00:24	0.000258233	0.00181687	0.000621581	-0.0017241	-1.03746E-05	-0.000518443
2000-01-01 00:00:25	0.000259224	0.00181584	0.00062255	-0.0017707	-1.03211E-05	-0.000517654
2000-01-01 00:00:25	0.000260723	0.00181607	0.000623095	-0.00178548	-1.03058E-05	-0.000519628
2000-01-01 00:00:25	0.000262753	0.00181734	0.000623235	-0.0017685	-1.0405E-05	-0.000524394
2000-01-01 00:00:25	0.000265316	0.00181934	0.000623007	-0.00172035	-1.06837E-05	-0.00053193
2000-01-01 00:00:26	0.000268391	0.00182173	0.000622459	-0.00164218	-1.11935E-05	-0.000542027
2000-01-01 00:00:26	0.000271899	0.00182418	0.000621651	-0.00153565	-1.19373E-05	-0.000554327
2000-01-01 00:00:26	0.000275729	0.00182644	0.000620654	-0.00140282	-1.28723E-05	-0.000568438
2000-01-01 00:00:26	0.000279747	0.00182831	0.000619544	-0.0012463	-1.39463E-05	-0.000583945
2000-01-01 00:00:27	0.000283806	0.00182964	0.000618398	-0.00106919	-1.51008E-05	-0.000600422
2000-01-01 00:00:27	0.000287764	0.00183037	0.000617293	-0.000875038	-1.62764E-05	-0.000617442
2000-01-01 00:00:27	0.000291507	0.0018305	0.0006163	-0.000667757	-1.74159E-05	-0.000634587
2000-01-01 00:00:27	0.000294985	0.00183012	0.00061548	-0.000451523	-1.84701E-05	-0.000651446
2000-01-01 00:00:28	0.000298179	0.00182932	0.000614886	-0.000230672	-1.93981E-05	-0.000667629
2000-01-01 00:00:28	0.00030113	0.00182823	0.000614554	-9.62075E-06	-2.01953E-05	-0.000682866
2000-01-01 00:00:28	0.00030393	0.00182696	0.000614507	0.000207216	-2.08926E-05	-0.000697004
2000-01-01 00:00:28	0.000306609	0.00182563	0.000614755	0.000415459	-2.15207E-05	-0.000709934
2000-01-01 00:00:29	0.000309199	0.00182434	0.0006153	0.000610882	-2.21113E-05	-0.000721572
2000-01-01 00:00:29	0.000311711	0.00182318	0.000616128	0.000789492	-2.26941E-05	-0.000731857
