dir	vel
209.2	9.01
221.8	9.57
216.2	10.69
217.6	11.83
189.5	9.57
205	7.9
212	6.76
200.8	7.9
209.2	9.01
203.6	9.57
217.6	10.13
202.2	8.46
226	9.01
206.4	8.46
219	8.46
231.6	7.31
224.6	7.31
188.1	6.2
209.2	9.57
202.2	8.46
207.8	9.57
209.2	8.46
210.6	8.46
226	8.46
220.4	10.13
217.6	7.31
202.2	7.31
206.4	6.76
216.2	9.01
223.2	9.01
200.8	9.57
207.8	9.01
207.8	7.9
192.3	7.9
210.6	9.01
205	9.01
205	11.83
205	9.01
209.2	9.01
210.6	11.83
216.2	8.46
226	7.9
209.2	9.57
217.6	9.57
209.2	7.31
219	8.46
217.6	9.57
220.4	8.46
228.8	7.9
209.2	8.46
210.6	9.01
205	7.9
209.2	7.31
209.2	9.01
212	7.9
206.4	8.46
217.6	7.9
203.6	8.46
228.8	7.9
220.4	9.57
198	8.46
227.4	9.01
214.8	9.01
217.6	8.46
212	8.46
212	7.9
212	9.57
213.4	7.9
202.2	7.9
210.6	9.01
223.2	7.9
213.4	8.46
214.8	9.57
200.8	9.57
212	7.9
214.8	7.31
203.6	6.76
216.2	6.76
205	8.46
209.2	8.46
205	6.2
205	7.31
200.8	9.57
203.6	8.46
216.2	9.01
212	9.01
203.6	7.31
212	8.46
217.6	8.46
190.9	7.9
193.7	8.46
216.2	8.46
227.4	9.01
213.4	9.01
195.1	7.31
199.4	7.9
213.4	7.31
193.7	9.01
227.4	9.57
196.5	7.9
207.8	9.01
214.8	9.57
221.8	8.46
216.2	8.46
203.6	9.57
219	9.57
206.4	9.57
221.8	10.13
207.8	10.13
210.6	9.57
195.1	9.57
214.8	9.57
200.8	9.01
199.4	9.01
216.2	8.46
213.4	7.9
212	10.13
190.9	9.01
224.6	9.57
207.8	9.57
217.6	9.57
217.6	9.57
210.6	9.57
209.2	9.57
205	9.57
216.2	9.57
205	9.01
209.2	7.9
200.8	8.46
200.8	7.31
198	6.76
202.2	9.01
207.8	9.57
210.6	7.31
224.6	6.76
217.6	8.46
233.1	9.01
210.6	6.76
233.1	10.13
206.4	8.46
223.2	7.31
212	9.01
214.8	9.01
219	7.9
203.6	6.76
219	6.76
214.8	7.31
219	9.01
210.6	8.46
210.6	10.13
202.2	7.9
209.2	9.01
217.6	8.46
210.6	9.01
210.6	8.46
233.1	9.01
224.6	7.9
224.6	8.46
210.6	7.31
213.4	5.08
231.6	7.31
235.9	7.31
213.4	7.31
217.6	7.9
206.4	7.31
195.1	7.31
221.8	7.9
226	5.64
206.4	7.31
223.2	7.31
214.8	7.31
212	6.76
202.2	5.08
213.4	7.9
220.4	6.76
214.8	7.31
207.8	9.01
214.8	6.76
203.6	6.2
202.2	6.76
210.6	7.31
209.2	6.76
206.4	5.64
209.2	6.2
193.7	7.31
210.6	7.31
200.8	6.76
210.6	6.76
207.8	7.31
